source,target,attribute
198,201,personal
203,74,personal
87,81,personal
51,34,personal
16,90,personal
204,98,personal
105,271,personal
16,24,personal
110,274,personal
275,95,personal
277,76,personal
278,77,personal
279,83,personal
34,101,personal
78,102,personal
80,119,personal
280,132,personal
198,142,personal
281,19,personal
282,19,personal
147,133,personal
164,283,personal
164,205,personal
164,147,personal
165,188,personal
284,34,personal
284,178,personal
285,181,personal
286,185,personal
287,185,personal
288,18,personal
189,1,personal
193,289,personal
193,290,personal
184,129,personal
177,291,personal
177,292,personal
177,204,personal
177,294,personal
177,293,personal
177,295,personal
21,299,personal
301,302,personal
301,51,personal
304,289,personal
315,18,personal
1,305,personal
22,316,personal
13,316,personal
319,308,personal
308,211,personal
50,311,personal
311,90,personal
7,339,personal
7,340,personal
7,341,personal
322,342,personal
1,327,personal
327,78,personal
78,1,personal
342,330,personal
332,285,personal
365,178,personal
147,205,personal
78,205,personal
78,133,personal
239,87,personal
47,369,personal
47,370,personal
47,371,personal
165,286,personal
159,286,personal
58,41,personal
58,372,personal
133,134,personal
1,5001,publishing
6,5001,publishing
79,5002,publishing
79,5003,publishing
79,5004,publishing
79,5005,publishing
79,5006,publishing
33,5007,publishing
33,5008,publishing
33,5009,publishing
195,5009,publishing
196,5009,publishing
33,5010,publishing
33,5011,publishing
33,5012,publishing
197,5012,publishing
33,5013,publishing
198,5013,publishing
33,5014,publishing
199,5014,publishing
33,5015,publishing
200,5015,publishing
33,5016,publishing
201,5016,publishing
33,5017,publishing
202,5017,publishing
74,5018,publishing
74,5019,publishing
74,5020,publishing
74,5021,publishing
74,5022,publishing
203,5018,publishing
214,5023,publishing
178,5023,publishing
6,5023,publishing
75,5023,publishing
34,5023,publishing
215,5023,publishing
216,5023,publishing
217,5023,publishing
218,5023,publishing
219,5023,publishing
220,5023,publishing
221,5023,publishing
222,5023,publishing
223,5023,publishing
224,5023,publishing
225,5023,publishing
226,5023,publishing
227,5023,publishing
228,5023,publishing
229,5023,publishing
230,5023,publishing
231,5023,publishing
232,5024,publishing
178,5024,publishing
279,5024,publishing
79,5024,publishing
33,5024,publishing
6,5024,publishing
234,5024,publishing
44,5024,publishing
34,5024,publishing
87,5024,publishing
78,5024,publishing
34,5025,publishing
6,5025,publishing
101,5025,publishing
34,5026,publishing
235,5026,publishing
87,5027,publishing
87,5027,publishing
204,5027,publishing
78,5027,publishing
147,5027,publishing
236,5027,publishing
21,5027,publishing
237,5027,publishing
238,5027,publishing
74,5027,publishing
87,5028,publishing
87,5028,publishing
236,5028,publishing
21,5028,publishing
78,5028,publishing
239,5028,publishing
240,5028,publishing
241,5028,publishing
238,5028,publishing
242,5028,publishing
243,5028,publishing
244,5028,publishing
245,5028,publishing
78,5029,publishing
147,5029,publishing
78,5030,publishing
147,5030,publishing
78,5031,publishing
239,5031,publishing
249,5031,publishing
78,5032,publishing
266,5032,publishing
78,5033,publishing
267,5033,publishing
78,5034,publishing
268,5034,publishing
269,5034,publishing
270,5034,publishing
98,5035,publishing
204,5035,publishing
276,5036,publishing
96,5036,publishing
118,5036,publishing
96,5037,publishing
84,5037,publishing
87,5038,publishing
87,5039,publishing
87,5040,publishing
87,5041,publishing
101,5042,publishing
72,5036,publishing
27,5036,publishing
176,5036,publishing
84,5036,publishing
299,5043,publishing
1,5043,publishing
314,5043,publishing
306,5044,publishing
44,5044,publishing
317,5044,publishing
343,5036,publishing
322,5036,publishing
344,5036,publishing
345,5036,publishing
346,5036,publishing
330,5036,publishing
358,5045,publishing
276,5045,publishing
84,5045,publishing
8,5045,publishing
322,5045,publishing
346,5045,publishing
359,5045,publishing
275,5050,publishing
95,5050,publishing
87,5051,publishing
361,5051,publishing
78,5051,publishing
362,5051,publishing
236,5051,publishing
21,5051,publishing
238,5051,publishing
239,5051,publishing
363,5051,publishing
364,5051,publishing
365,5051,publishing
366,5051,publishing
81,5051,publishing
47,5051,publishing
78,5051,publishing
98,5051,publishing
317,5051,publishing
367,5051,publishing
84,5052,publishing
96,5052,publishing
97,5052,publishing
118,5052,publishing
157,5052,publishing
176,5052,publishing
184,5052,publishing
276,5052,publishing
96,5053,publishing
176,5053,publishing
80,5053,publishing
84,5053,publishing
357,5053,publishing
97,5053,publishing
373,5053,publishing
369,5054,publishing
368,5054,publishing
34,5054,publishing
78,5054,publishing
87,5054,publishing
204,5055,publishing
87,5055,publishing
366,5055,publishing
238,5055,publishing
203,5055,publishing
206,5055,publishing
74,5055,publishing
21,5055,publishing
236,5055,publishing
34,5055,publishing
178,5055,publishing
369,5055,publishing
47,5055,publishing
98,5055,publishing
61,2049,pursuit_organization
61,2011,pursuit_organization
79,2013,pursuit_organization
33,2015,pursuit_organization
80,2001,pursuit_organization
80,2001,pursuit_organization
80,2050,pursuit_organization
74,2018,pursuit_organization
74,2019,pursuit_organization
74,2051,pursuit_organization
74,2052,pursuit_organization
74,2053,pursuit_organization
74,2054,pursuit_organization
74,2055,pursuit_organization
81,2018,pursuit_organization
82,2021,pursuit_organization
75,2022,pursuit_organization
76,2057,pursuit_organization
84,2001,pursuit_organization
84,2026,pursuit_organization
51,2027,pursuit_organization
51,2058,pursuit_organization
34,2025,pursuit_organization
34,2018,pursuit_organization
87,2018,pursuit_organization
87,2029,pursuit_organization
78,2034,pursuit_organization
78,2032,pursuit_organization
78,2033,pursuit_organization
78,2001,pursuit_organization
78,2035,pursuit_organization
98,2060,pursuit_organization
98,2036,pursuit_organization
98,2018,pursuit_organization
25,2010,pursuit_organization
99,2039,pursuit_organization
99,2040,pursuit_organization
99,2040,pursuit_organization
101,2043,pursuit_organization
101,2044,pursuit_organization
101,2044,pursuit_organization
101,2045,pursuit_organization
94,2001,pursuit_organization
94,2046,pursuit_organization
103,2007,pursuit_organization
103,2007,pursuit_organization
16,2001,pursuit_organization
111,2047,pursuit_organization
95,2048,pursuit_organization
95,2001,pursuit_organization
1,2001,pursuit_organization
1,2001,pursuit_organization
1,2002,pursuit_organization
118,2062,pursuit_organization
121,2063,pursuit_organization
122,2001,pursuit_organization
122,2065,pursuit_organization
139,2001,pursuit_organization
72,2066,pursuit_organization
140,2067,pursuit_organization
141,2069,pursuit_organization
141,2070,pursuit_organization
141,2069,pursuit_organization
143,2007,pursuit_organization
143,2072,pursuit_organization
146,2073,pursuit_organization
127,2074,pursuit_organization
145,2074,pursuit_organization
130,2075,pursuit_organization
133,2034,pursuit_organization
133,2029,pursuit_organization
133,2031,pursuit_organization
133,2076,pursuit_organization
166,2077,pursuit_organization
157,2040,pursuit_organization
157,2078,pursuit_organization
162,2079,pursuit_organization
155,2080,pursuit_organization
159,2082,pursuit_organization
165,2017,pursuit_organization
165,2038,pursuit_organization
165,2083,pursuit_organization
151,2084,pursuit_organization
153,2087,pursuit_organization
153,2078,pursuit_organization
156,2088,pursuit_organization
149,2089,pursuit_organization
135,2091,pursuit_organization
147,2034,pursuit_organization
27,2094,pursuit_organization
77,2004,pursuit_organization
77,2068,pursuit_organization
164,2096,pursuit_organization
132,2098,pursuit_organization
167,2099,pursuit_organization
167,2100,pursuit_organization
167,2078,pursuit_organization
171,2101,pursuit_organization
34,2041,pursuit_organization
178,2027,pursuit_organization
178,2103,pursuit_organization
178,2104,pursuit_organization
178,2105,pursuit_organization
178,2106,pursuit_organization
178,2107,pursuit_organization
181,2108,pursuit_organization
181,2108,pursuit_organization
181,2108,pursuit_organization
185,2007,pursuit_organization
77,2110,pursuit_organization
179,2112,pursuit_organization
179,2113,pursuit_organization
186,2115,pursuit_organization
187,2115,pursuit_organization
96,2001,pursuit_organization
96,2068,pursuit_organization
190,2069,pursuit_organization
176,2026,pursuit_organization
176,2062,pursuit_organization
189,2010,pursuit_organization
189,2116,pursuit_organization
191,2010,pursuit_organization
180,2119,pursuit_organization
180,2120,pursuit_organization
184,2001,pursuit_organization
182,2035,pursuit_organization
192,2017,pursuit_organization
192,2010,pursuit_organization
192,2010,pursuit_organization
175,2124,pursuit_organization
175,2123,pursuit_organization
150,2010,pursuit_organization
194,2126,pursuit_organization
194,2125,pursuit_organization
297,2074,pursuit_organization
297,2127,pursuit_organization
297,2128,pursuit_organization
128,2129,pursuit_organization
299,2130,pursuit_organization
81,2020,pursuit_organization
300,2010,pursuit_organization
313,2069,pursuit_organization
313,2069,pursuit_organization
313,2069,pursuit_organization
313,2069,pursuit_organization
303,2069,pursuit_organization
303,2069,pursuit_organization
303,2069,pursuit_organization
298,2069,pursuit_organization
301,2132,pursuit_organization
301,2133,pursuit_organization
301,2134,pursuit_organization
51,2135,pursuit_organization
304,2001,pursuit_organization
305,2138,pursuit_organization
305,2139,pursuit_organization
305,2140,pursuit_organization
318,2143,pursuit_organization
318,2142,pursuit_organization
318,2144,pursuit_organization
307,2010,pursuit_organization
307,2017,pursuit_organization
307,2001,pursuit_organization
308,2146,pursuit_organization
308,2147,pursuit_organization
308,2148,pursuit_organization
308,2045,pursuit_organization
98,2148,pursuit_organization
309,2149,pursuit_organization
309,2150,pursuit_organization
309,2068,pursuit_organization
310,2151,pursuit_organization
322,2153,pursuit_organization
322,2024,pursuit_organization
324,2061,pursuit_organization
324,2154,pursuit_organization
324,2155,pursuit_organization
326,2001,pursuit_organization
326,2001,pursuit_organization
326,2156,pursuit_organization
325,2157,pursuit_organization
325,2158,pursuit_organization
325,2159,pursuit_organization
325,2001,pursuit_organization
327,2160,pursuit_organization
330,2161,pursuit_organization
330,2007,pursuit_organization
331,2162,pursuit_organization
331,2163,pursuit_organization
332,2108,pursuit_organization
332,2165,pursuit_organization
332,2166,pursuit_organization
332,2167,pursuit_organization
337,2009,pursuit_organization
337,2001,pursuit_organization
334,2168,pursuit_organization
276,2108,pursuit_organization
276,2170,pursuit_organization
276,2171,pursuit_organization
5,2006,pursuit_organization
5,2001,pursuit_organization
5,2007,pursuit_organization
354,2173,pursuit_organization
354,2175,pursuit_organization
354,2174,pursuit_organization
354,2176,pursuit_organization
355,2008,pursuit_organization
355,2001,pursuit_organization
355,2178,pursuit_organization
355,2179,pursuit_organization
355,2180,pursuit_organization
355,2176,pursuit_organization
6,2045,pursuit_organization
34,2045,pursuit_organization
44,2045,pursuit_organization
47,2045,pursuit_organization
74,2045,pursuit_organization
76,2045,pursuit_organization
87,2045,pursuit_organization
98,2045,pursuit_organization
178,2045,pursuit_organization
204,2045,pursuit_organization
211,2045,pursuit_organization
228,2045,pursuit_organization
239,2045,pursuit_organization
256,2045,pursuit_organization
276,2045,pursuit_organization
306,2045,pursuit_organization
319,2045,pursuit_organization
365,2045,pursuit_organization
33,2181,pursuit_organization
44,2181,pursuit_organization
47,2181,pursuit_organization
78,2181,pursuit_organization
82,2181,pursuit_organization
87,2181,pursuit_organization
144,2181,pursuit_organization
204,2181,pursuit_organization
228,2181,pursuit_organization
234,2181,pursuit_organization
292,2181,pursuit_organization
294,2181,pursuit_organization
306,2181,pursuit_organization
333,2181,pursuit_organization
365,2181,pursuit_organization
232,2181,pursuit_organization
368,2181,pursuit_organization
78,2018,pursuit_organization
204,2018,pursuit_organization
325,2182,pursuit_organization
97,2001,pursuit_organization
97,2026,pursuit_organization
96,2026,pursuit_organization
349,2183,pursuit_organization
369,2181,pursuit_organization
369,2045,pursuit_organization
47,2018,pursuit_organization
47,2185,pursuit_organization
47,2035,pursuit_organization
360,2001,pursuit_organization
352,2186,pursuit_organization
352,2186,pursuit_organization
286,2110,pursuit_organization
351,2188,pursuit_organization
351,2187,pursuit_organization
6,2188,pursuit_organization
232,2188,pursuit_organization
369,2188,pursuit_organization
202,2188,pursuit_organization
44,2188,pursuit_organization
265,2188,pursuit_organization
33,2188,pursuit_organization
199,2188,pursuit_organization
80,2188,pursuit_organization
289,2001,pursuit_organization
289,2178,pursuit_organization
356,2016,pursuit_organization
356,2001,pursuit_organization
30,2149,pursuit_organization
27,2093,pursuit_organization
27,2068,pursuit_organization
30,2187,pursuit_organization
30,2068,pursuit_organization
357,2190,pursuit_organization
357,2171,pursuit_organization
353,2193,pursuit_organization
82,2045,pursuit_organization
178,2181,pursuit_organization
61,3069,pursuit_occupation
61,3101,pursuit_occupation
79,3070,pursuit_occupation
33,3073,pursuit_occupation
80,3073,pursuit_occupation
80,3075,pursuit_occupation
80,3074,pursuit_occupation
74,3101,pursuit_occupation
74,3101,pursuit_occupation
74,3077,pursuit_occupation
74,3076,pursuit_occupation
74,3076,pursuit_occupation
74,3076,pursuit_occupation
74,3076,pursuit_occupation
74,3076,pursuit_occupation
81,3101,pursuit_occupation
81,3078,pursuit_occupation
82,3019,pursuit_occupation
75,3074,pursuit_occupation
75,3080,pursuit_occupation
83,3081,pursuit_occupation
76,3082,pursuit_occupation
76,3074,pursuit_occupation
84,3083,pursuit_occupation
84,3084,pursuit_occupation
51,3086,pursuit_occupation
51,3101,pursuit_occupation
85,3087,pursuit_occupation
34,3086,pursuit_occupation
86,3080,pursuit_occupation
77,3088,pursuit_occupation
34,3101,pursuit_occupation
87,3084,pursuit_occupation
87,3089,pursuit_occupation
78,3073,pursuit_occupation
78,3079,pursuit_occupation
78,3084,pursuit_occupation
78,3073,pursuit_occupation
78,3084,pursuit_occupation
78,3090,pursuit_occupation
88,3081,pursuit_occupation
50,3081,pursuit_occupation
89,3091,pursuit_occupation
90,3081,pursuit_occupation
91,3088,pursuit_occupation
19,3088,pursuit_occupation
92,3088,pursuit_occupation
39,3092,pursuit_occupation
98,3093,pursuit_occupation
98,3093,pursuit_occupation
98,3073,pursuit_occupation
98,3101,pursuit_occupation
25,3084,pursuit_occupation
99,3101,pursuit_occupation
99,3084,pursuit_occupation
99,3083,pursuit_occupation
109,3094,pursuit_occupation
109,3088,pursuit_occupation
101,3076,pursuit_occupation
101,3095,pursuit_occupation
101,3095,pursuit_occupation
101,3086,pursuit_occupation
101,3095,pursuit_occupation
94,3073,pursuit_occupation
94,3074,pursuit_occupation
103,3083,pursuit_occupation
103,3073,pursuit_occupation
105,3096,pursuit_occupation
106,3097,pursuit_occupation
102,3092,pursuit_occupation
100,3091,pursuit_occupation
24,3088,pursuit_occupation
16,3078,pursuit_occupation
16,3098,pursuit_occupation
110,3072,pursuit_occupation
111,3101,pursuit_occupation
111,3096,pursuit_occupation
112,3096,pursuit_occupation
95,3101,pursuit_occupation
95,3099,pursuit_occupation
1,3073,pursuit_occupation
1,3070,pursuit_occupation
1,3073,pursuit_occupation
118,3084,pursuit_occupation
118,3088,pursuit_occupation
119,3081,pursuit_occupation
121,3085,pursuit_occupation
122,3073,pursuit_occupation
122,3084,pursuit_occupation
139,3073,pursuit_occupation
72,3073,pursuit_occupation
140,3073,pursuit_occupation
132,3088,pursuit_occupation
141,3079,pursuit_occupation
141,3084,pursuit_occupation
141,3079,pursuit_occupation
142,3088,pursuit_occupation
142,3072,pursuit_occupation
143,3098,pursuit_occupation
143,3084,pursuit_occupation
126,3100,pursuit_occupation
126,3076,pursuit_occupation
146,3084,pursuit_occupation
146,3078,pursuit_occupation
127,3084,pursuit_occupation
145,3084,pursuit_occupation
127,3081,pursuit_occupation
130,3084,pursuit_occupation
130,3090,pursuit_occupation
131,3094,pursuit_occupation
133,3079,pursuit_occupation
133,3079,pursuit_occupation
133,3079,pursuit_occupation
133,3079,pursuit_occupation
133,3092,pursuit_occupation
134,3092,pursuit_occupation
166,3094,pursuit_occupation
157,3073,pursuit_occupation
157,3101,pursuit_occupation
162,3102,pursuit_occupation
155,3101,pursuit_occupation
155,3103,pursuit_occupation
88,3091,pursuit_occupation
159,3104,pursuit_occupation
165,3095,pursuit_occupation
165,3095,pursuit_occupation
165,3084,pursuit_occupation
165,3072,pursuit_occupation
151,3095,pursuit_occupation
153,3083,pursuit_occupation
153,3101,pursuit_occupation
156,3084,pursuit_occupation
163,3091,pursuit_occupation
149,3104,pursuit_occupation
135,3073,pursuit_occupation
147,3073,pursuit_occupation
27,3084,pursuit_occupation
77,3095,pursuit_occupation
77,3095,pursuit_occupation
164,3084,pursuit_occupation
161,3072,pursuit_occupation
132,3105,pursuit_occupation
167,3101,pursuit_occupation
167,3079,pursuit_occupation
167,3101,pursuit_occupation
171,3084,pursuit_occupation
34,3086,pursuit_occupation
178,3084,pursuit_occupation
178,3084,pursuit_occupation
178,3084,pursuit_occupation
178,3084,pursuit_occupation
178,3105,pursuit_occupation
178,3105,pursuit_occupation
181,3079,pursuit_occupation
181,3084,pursuit_occupation
181,3084,pursuit_occupation
188,3096,pursuit_occupation
183,3088,pursuit_occupation
185,3095,pursuit_occupation
185,3106,pursuit_occupation
77,3095,pursuit_occupation
179,3104,pursuit_occupation
179,3104,pursuit_occupation
186,3079,pursuit_occupation
187,3079,pursuit_occupation
96,3073,pursuit_occupation
96,3101,pursuit_occupation
18,3088,pursuit_occupation
18,3103,pursuit_occupation
190,3107,pursuit_occupation
176,3073,pursuit_occupation
176,3088,pursuit_occupation
176,3084,pursuit_occupation
189,3107,pursuit_occupation
189,3107,pursuit_occupation
189,3107,pursuit_occupation
191,3107,pursuit_occupation
180,3073,pursuit_occupation
180,3073,pursuit_occupation
193,3072,pursuit_occupation
193,3092,pursuit_occupation
184,3073,pursuit_occupation
129,3088,pursuit_occupation
182,3076,pursuit_occupation
192,3083,pursuit_occupation
